Writing PVE Log data!
Sample Time:25
------------

time(s)	P1	V1	E1	P2	V2	E2	P3	V3	E3
10.118	10.602	0.050	-0.511	23.222	0.000	-0.162	49.129	0.000	0.762
10.152	10.624	0.000	-0.511	23.233	-0.030	-0.162	49.151	0.000	0.740
10.188	10.602	0.000	-0.511	23.200	0.050	-0.162	49.151	0.000	0.740
10.223	10.602	0.000	-0.511	23.222	0.000	-0.140	49.151	0.050	0.718
10.258	10.602	0.000	-0.511	23.191	0.015	-0.162	49.173	-0.050	0.718
10.292	10.602	-0.050	-0.511	23.222	0.000	-0.140	49.151	0.000	0.718
10.327	10.580	0.000	-0.511	23.222	0.000	-0.162	49.173	0.000	0.718
10.363	10.580	0.000	-0.489	23.222	-0.050	-0.162	49.173	0.000	0.696
10.399	10.580	0.000	-0.489	23.200	0.050	-0.162	49.173	0.000	0.696
10.434	10.580	0.000	-0.489	23.222	-0.050	-0.162	49.173	0.000	0.718
10.469	10.580	0.000	-0.467	23.222	0.000	-0.140	49.218	0.000	0.696
10.504	10.558	0.000	-0.467	23.222	0.000	-0.162	49.196	0.050	0.696
10.539	10.558	0.000	-0.467	23.222	0.000	-0.140	49.196	0.000	0.673
10.574	10.558	0.000	-0.467	23.200	-0.050	-0.162	49.218	0.000	0.673
